GP,Lyra Zero W,gpiochip,Luckfox RM_IO,Lyra #,RasPi0 2 W,RPi #,Notes
1,3V3_OUT,N/A,Power,,3V3 Power,,Static
2,VSYS,N/A,Power (System Voltage),,5V Power,,Static
3,GPIO0_A0_u,0,RM_IO0,0,GPIO 2 / SDA,2,
4,VSYS,N/A,Power (System Voltage),,5V Power,,Static
5,GPIO0_A1_d,0,RM_IO1,1,GPIO 3 / SCL,3,
6,GND,N/A,Ground,,Ground,,Static
7,GPIO0_A2_u,0,RM_IO2,2,GPIO 4,4,
8,GPIO0_C6_u,0,RM_IO22,22,GPIO 14 / TXD,14,Static
9,GND,N/A,Ground,,Ground,,Static
10,GPIO0_C7_u,0,RM_IO23,23,GPIO 15 / RXD,15,Static
11,GPIO0_A3_d,0,RM_IO3,3,GPIO 17,17,
12,GPIO0_B6_d,0,RM_IO14,14,GPIO 18,18,
13,GPIO0_A4_d,0,RM_IO4,4,GPIO 27,27,
14,GND,N/A,Ground,,Ground,,Static
15,GPIO0_A5_d,0,RM_IO5,5,GPIO 22,22,
16,GPIO0_B5_d,0,RM_IO13,13,GPIO 23,23,
17,3V3_OUT,N/A,Power,,3V3 Power,,Static
18,GPIO0_B4_d,0,RM_IO12,12,GPIO 24,24,
19,GPIO0_A6_d,0,RM_IO6,6,GPIO 10 / MOSI,10,
20,GND,N/A,Ground,,Ground,,Static
21,GPIO0_A7_d,0,RM_IO7,7,GPIO 9 / MISO,9,
22,GPIO0_B3_d,0,RM_IO11,11,GPIO 25,25,
23,GPIO0_B0_d,0,RM_IO8,8,GPIO 11 / SCLK,11,
24,GPIO0_B2_d,0,RM_IO10,10,GPIO 8 / CE0,8,
25,GND,N/A,Ground,,Ground,,Static
26,GPIO0_B1_d,0,RM_IO9,9,GPIO 7 / CE1,7,
27,GPIO1_B1_d,1,RM_IO24,24,ID_SD (I2C),,
28,GPIO1_D3_d,1,RM_IO31,31,ID_SC (I2C),,
29,GPIO1_B2_d,1,RM_IO25,25,GPIO 5,5,
30,GND,N/A,Ground,,Ground,,Static
31,GPIO1_B3_d,1,RM_IO26,26,GPIO 6,6,
32,GPIO1_D2_d,1,RM_IO30,30,GPIO 12,12,
33,GPIO1_C2_d,1,RM_IO27,27,GPIO 13,13,
34,GND,N/A,Ground,,Ground,,Static
35,GPIO1_A1_d,1,,16,GPIO 19,19,
36,GPIO1_A5_d,1,,29,GPIO 16,16,
37,GPIO1_A2_d,1,,28,GPIO 26,26,
38,GPIO1_A4_d,1,,17,GPIO 20,20,
39,GND,N/A,Ground,,Ground,,Static
40,GPIO1_A3_d,1,,18,GPIO 21,21,